"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0019269"	"http://bio2rdf.org/meddra:10014691"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
"C0854210"	"http://bio2rdf.org/meddra:10014692"	"http://bio2rdf.org/meddra:10014701"	"http://bio2rdf.org/meddra:10014698"
"C0020305"	"http://bio2rdf.org/meddra:10016850"	"http://bio2rdf.org/meddra:10016849"	"http://bio2rdf.org/meddra:10036585"
"C0853830"	"http://bio2rdf.org/meddra:10016850"	"http://bio2rdf.org/meddra:10016849"	"http://bio2rdf.org/meddra:10036585"
"C0020455"	"http://bio2rdf.org/meddra:10018847"	"http://bio2rdf.org/meddra:10018849"	"http://bio2rdf.org/meddra:10005329"
"C1306857"	"http://bio2rdf.org/meddra:10018847"	"http://bio2rdf.org/meddra:10018849"	"http://bio2rdf.org/meddra:10005329"
"C0853888"	"http://bio2rdf.org/meddra:10018847"	"http://bio2rdf.org/meddra:10018849"	"http://bio2rdf.org/meddra:10005329"
"C0525032"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0580417"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0853226"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0853225"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0580416"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0007719"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0853652"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0853651"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0855392"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0855393"	"http://bio2rdf.org/meddra:10009728"	"http://bio2rdf.org/meddra:10018851"	"http://bio2rdf.org/meddra:10022891"
"C0852980"	"http://bio2rdf.org/meddra:10002052"	"http://bio2rdf.org/meddra:10018911"	"http://bio2rdf.org/meddra:10005329"
"C0020433"	"http://bio2rdf.org/meddra:10018913"	"http://bio2rdf.org/meddra:10018911"	"http://bio2rdf.org/meddra:10005329"
"C0022346"	"http://bio2rdf.org/meddra:10018913"	"http://bio2rdf.org/meddra:10018911"	"http://bio2rdf.org/meddra:10005329"
"C0022353"	"http://bio2rdf.org/meddra:10018913"	"http://bio2rdf.org/meddra:10018911"	"http://bio2rdf.org/meddra:10005329"
